Public Food Key,Classification,Food Name,Price ($/100g), Price / item ,Weight / item (g),"Energy with dietary fibre, equated (kJ)","Energy, without dietary fibre, equated (kJ)",Moisture (water) (g),Protein (g),"Fat, total (g)",Total dietary fibre (g),Alcohol (g),Total sugars (g),Added sugars (g),"Available carbohydrate, with sugar alcohols (g)",Aluminium (Al) (ug),Antimony (Sb) (ug),Arsenic (As) (ug),Cadmium (Cd) (ug),Calcium (Ca) (mg),Chromium (Cr) (ug),Chloride (Cl) (mg),Cobalt (Co) (ug),Copper (Cu) (mg),Fluoride (F) (ug),Iodine (I) (ug),Iron (Fe) (mg),Lead (Pb) (ug),Magnesium (Mg) (mg),Manganese (Mn) (mg),Mercury (Hg) (ug),Molybdenum (Mo) (ug),Nickel (Ni) (ug),Phosphorus (P) (mg),Potassium (K) (mg),Selenium (Se) (ug),Sodium (Na) (mg),Sulphur (S) (mg),Tin (Sn) (ug),Zinc (Zn) (mg),Vitamin A retinol equivalents (ug),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin derived equivalents (mg),Pantothenic acid (B5) (mg),Pyridoxine (B6) (mg),Biotin (B7) (ug),Cobalamin (B12) (ug),Dietary folate equivalents (ug),Vitamin C (mg),Vitamin D3 equivalents (ug),Alpha tocopherol (mg),Alpha tocotrienol (mg),Beta tocopherol (mg),Beta tocotrienol (mg),Delta tocopherol (mg),Delta tocotrienol (mg),Gamma tocopherol (mg),Gamma tocotrienol (mg),Vitamin E (mg),"Total saturated fatty acids, equated (%T)","Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated (%T)",Total undifferentiated fatty acids (%T),"Total trans fatty acids, imputed (%T)","Total saturated fatty acids, equated (g)","Total monounsaturated fatty acids, equated (g)","Total polyunsaturated fatty acids, equated (g)","Total long chain omega 3 fatty acids, equated (mg)","Total undifferentiated fatty acids, mass basis basis (mg)","Total trans fatty acids, imputed (mg)",Caffeine (mg),Cholesterol (mg)
F000994,29101,"Beer, full strength (alcohol 4-4.9% v/v)",1.21,24,1980,152,152,93,0.4,0,0,3.6,0,0,2.3,1.9,0,0,0,4,0.2,25,,0,50,0,0,0,6,0.03,0,0,1,16,36,0,4,11,0,0,0,0,0.03,0.04,0,0.03,0.9,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F000995,29101,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",1.21,24,1980,126,126,94.6,0.3,0,0,3.6,0,0,1,1.2,,0,0,3,0,19,,0,70,0,0.01,0,5,0.01,,0,1,15,28,0,4,7,,0,0,0,0,0.03,0,0.03,0.9,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F001006,29102,"Beer, mid-strength (alcohol 3-3.9% v/v)",1.21,24,1980,128,128,94.1,0.3,0,0,3,0,0,2.2,2.1,,0,0,4,0,28,,0,82,0,0,0,5,0.01,,0,1,12,30,0,3,7,,0,0,0,0,0.03,0,0.03,0.9,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F001004,29102,"Beer, light (alcohol 1-2.9% v/v)",1.1,14.5,1320,100,100,94.5,0.2,0,0,2.1,0,0,2.2,0,,0,0,3,0,28,,0,82,0,0,0,5,0.01,,0,1,12,27,0,3,7,,0,0,0,0,0.02,0,0.03,0.9,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009572,29201,"Wine, red, cabernet sauvignon",2.8,21,750,332,332,86.1,0.3,0,0,11,0.2,0,0.2,21.1,,0,0,7,1,24,,0.02,19,1.7,0.15,0,13,0.11,,0,,35,117,0,4,14,,0.07,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009574,29201,"Wine, red, merlot",2.8,21,750,330,330,86.3,0.3,0,0,10.9,0.4,0,0.4,20.9,,0,0,7,0.6,24,,0.02,19,1.5,0.17,0,12,0.11,,0,,26,91,0,5,14,,0.07,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009575,29201,"Wine, red, pinot noir",2.8,21,750,321,321,86.9,0.2,0,0,10.7,0.2,0,0.2,22.6,,0,0,7,0.8,24,,0.02,19,0,0.17,0,16,0.16,,0,,32,91,0,2,14,,0.1,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009577,29201,"Wine, red, shiraz",2.8,21,750,342,342,85.5,0.2,0,0,11.5,0.2,0,0.2,16.9,,0,0,6,1,24,,0.02,19,2.2,0.18,0,15,0.12,,0,,32,115,0,7,14,,0.09,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009571,29201,"Wine, red",2.8,21,750,335,335,85.9,0.2,0,0,11.2,0.2,0,0.2,19.1,,0,0,7,1,24,,0.02,19,1.8,0.17,0,14,0.12,,0,,32,111,0,5,14,,0.08,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,,0,,0,,,,,,0,0,0,0,,0,0,0
F009573,29201,"Wine, red, cooked",2.8,21,750,120,120,93.2,0.3,0,0,3.9,0.2,0,0.2,,,,,8,,,,,,1.5,0,,15,,,,,34,113,0,5,,,0.09,0,0,0,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009578,29201,"Wine, red, sparkling",3.33,25,750,338,338,85.5,0.2,0,0,10.3,2,0,2,15.8,,0,0,6,1,24,,0.02,19,2.2,0.18,0,15,0.13,,0,,33,117,0,7,14,,0.09,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009579,29201,"Wine, rose",2.8,21,750,289,289,88.2,0.2,0,0,9.4,0.7,0,0.7,38.2,,0,0,8,0.2,21,,0.02,20,2,0.08,0,11,0.11,,0,,27,51,0,5,20,,0.06,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009583,29202,"Wine, white, sauvignon blanc",2.8,21,750,296,296,88.3,0.2,0,0,9.9,0.1,0,0.1,65.2,,0,0,8,0,19,,0.01,20,0,0.09,0.8,8,0.06,,0,,18,56,0,2,16,,0.06,0,0,0,0.01,0,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009584,29202,"Wine, white, semillon",2.8,21,750,270,270,89.2,0.2,0,0,9,0.2,0,0.2,43.6,,0.2,0,9,1.3,19,,0.02,20,0,0.21,0.9,8,0.09,,0.2,,25,57,0,6,16,,0.08,0,0,0,0.01,0,0,,0,0,6,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009582,29202,"Wine, white, chardonnay",2.8,21,750,310,310,87.7,0.3,0,0,10.3,0.3,0,0.3,55.6,,0,0,7,0.4,19,,0.01,20,0,0.17,0.7,11,0.11,,0,,25,52,0,4,16,,0.1,0,0,0,0.01,0,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009586,29202,"Wine, white, riesling",2.8,21,750,292,292,88.5,0.2,0,0,9.6,0.4,0,0.4,41.5,,0,0.3,10,0.8,,,0.03,18,1.5,0.1,0.7,20,0.07,,0,,22,44,0,7,16,,0.08,0,0,0,0.01,0,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009581,29202,"Wine, white",2.8,21,750,301,301,88.1,0.3,0,0,10,0.2,0,0.2,55,,0,0,8,0.5,,,0.02,19.9,0.1,0.16,0.7,10,0.09,,0,,23,53,0,4,16,,0.08,0,0,0,0.01,0,0,,0,0,1,0,0,,0,,0,,0,,0,,,,,,0,0,0,0,,0,0,0
F009580,29202,"Wine, white, cooked",2.8,21,750,107,107,94.6,0.2,0,0,3.4,0.3,0,0.3,,,,,9,,,,,,0.4,0.15,,12,,,,,25,56,0,5,,,0.08,0,0,0,0.02,,0.06,,0,0,2,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009590,29202,"Wine, white, sparkling",2,15,750,306,306,88.3,0.2,0,0,9.8,1,0,1,43.2,,0.1,0,7,0.6,14,,0.02,18,0,0.19,0.1,9,0.09,,0,,20,35,0,2,13,,0.06,0,0,0,0.01,0,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009592,29202,"Wine, white, sweet dessert style",1.33,10,750,497,497,71.2,0.4,0,0,8.4,14.7,0,14.7,144.6,,1.5,0,15,2,,,0.01,,1.8,0.19,1.9,19,0.18,,1.3,,48,101,0,13,,,0.09,0,0,0,0.02,0,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009566,29203,"Wine, fortified, port",2.53,19,750,600,600,70.9,0.2,0,0,13.6,12.4,0,12.4,,,,,5,,22,,0.01,27,0,0.19,,10,0.08,,,,18,82,0,15,31,,0.06,0,0,0,0,,0.08,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009567,29203,"Wine, fortified, sherry, dry style (approximately 1% sugars)",2.53,19,750,435,435,83,0.1,0,0,14.2,1.2,0,1.2,,,,,5,,15,,0,14,0,0.06,,6,0.07,,,,12,39,0,19,15,,0.06,0,0,0,0,,0.05,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009568,29203,"Wine, fortified, sherry, sweet style (approximately 11% sugars)",2.53,19,750,577,577,73,0.2,0,0,13.6,11.1,0,11.1,,,,,4,,15,,0.01,15,0,0.1,,6,0.06,,,,13,53,0,18,16,,0.06,0,0,0,0,,0.05,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F000051,29301,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",5.33,40,750,892,892,66.9,0,0,0,30.7,0.1,0,0.1,,,,,1,,0,,0.01,45,0,0.05,,0,0,,,,0,1,0,3,0,,0.02,0,0,0,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F000050,29301,"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked",5.33,40,750,302,302,86.4,0,0,0,10.3,0.3,0,0.3,,,,,1,,1,,0.01,64,0,0.06,,1,0,,,,0,1,0,2,2,,0.06,0,0,0,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F002955,29401,"Cider, apple (alcohol approximately 4-5% v/v)",1.52,20,1320,209,209,89.2,0,0,0,3.9,5.6,0,5.6,26.2,,0,0,3,0.3,0,,0.01,0.07,0,0.02,0.1,2,0.01,,0,,12,56,0,3,,,0.01,0,0,0,0,0,0.02,,0,0,2,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009795,29505,"Kombucha, flavoured, added juice or intense sweeteners",0.52,5.2,1000,28,27,98,0,0,0.1,0.3,0.8,0,0.9,0,,0,,0,,,,0,,0,0,0,0,0.03,,0,,0,2,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,2,0
F009818,30104,"Protein powder, whey based, protein >70%, unfortified, prepared with water",5.61,50.5,900,261,259,84.1,14.2,0.4,0.3,0,0.2,0,0.3,7.6,,0.1,,71,,,,0.04,,40.6,0.09,0.5,14,0.26,,7.2,,40,80,11.2,36,,,0.04,1,0.02,0.03,1.72,,0.02,,0.8,20,0,0.1,0,,0,,0,,0,,0,,,,,,0.2,0.08,0.06,0,,5.26,0,10
F009351,31401,"Vanilla, artificial or imitation",8,4,50,231,231,85.6,0,0,0,0,14.4,0,14.4,,,,,3,,,,,,0.2,0.05,,1,,,,,0,0,0,3,,,0.01,0,0,0.03,0.13,,0.01,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
